date,open,high,low,close,adj_close,volume,dividend,split_coefficient
1999-12-20,35.88,36.0,35.69,35.81,7.5874,4400.0,0.0,1.0
1999-12-21,35.81,35.94,35.81,35.94,7.6149,600.0,0.0,1.0
1999-12-22,35.94,35.94,35.75,35.94,7.6149,1900.0,0.0,1.0
1999-12-23,35.94,36.19,35.94,36.19,7.6679,2600.0,0.0,1.0
1999-12-27,36.0,36.0,35.5,35.88,7.6022,5000.0,0.0,1.0
1999-12-28,35.88,35.88,35.81,35.88,7.6022,900.0,0.0,1.0
1999-12-29,35.88,36.81,35.88,36.81,7.7993,5600.0,0.0,1.0
1999-12-30,36.88,36.88,36.88,36.88,7.8141,200.0,0.0,1.0
1999-12-31,36.88,36.88,36.75,36.88,7.8141,700.0,0.0,1.0
2000-01-03,36.81,36.81,36.75,36.75,7.7866,1000.0,0.0,1.0
2000-01-04,36.63,37.13,36.63,37.13,7.8671,1500.0,0.0,1.0
2000-01-05,37.25,37.25,36.69,36.88,7.8141,3900.0,0.0,1.0
2000-01-06,36.75,36.75,36.56,36.63,7.7611,1900.0,0.0,1.0
2000-01-07,36.63,36.63,36.63,36.63,7.7611,3100.0,0.0,1.0
2000-01-10,36.75,37.25,36.75,37.0,7.8395,2400.0,0.0,1.0
2000-01-11,36.81,36.81,36.69,36.69,7.7739,1400.0,0.0,1.0
2000-01-12,36.75,36.94,36.69,36.75,7.7866,2700.0,0.0,1.0
2000-01-13,36.69,36.88,36.69,36.88,7.8141,1900.0,0.0,1.0
2000-01-14,36.69,36.75,36.69,36.75,7.7866,1300.0,0.0,1.0
2000-01-18,37.0,37.0,36.94,36.94,7.8268,1300.0,0.0,1.0
2000-01-19,37.13,37.13,36.75,36.88,7.8141,2700.0,0.0,1.0
2000-01-20,36.69,36.94,36.69,36.88,7.8141,2500.0,0.0,1.0
2000-01-21,36.75,36.75,36.69,36.69,7.7739,1500.0,0.0,1.0
2000-01-24,36.69,36.69,36.63,36.63,7.7611,3300.0,0.0,1.0
2000-01-25,36.63,36.63,36.25,36.25,7.6806,2600.0,0.0,1.0
2000-01-26,36.13,36.13,35.75,35.75,7.5747,2300.0,0.0,1.0
